Pred_common,Prey_Name_Clean,Len_bin,NStomachs,Percent_Occur,Percent_Weight
Pacific halibut,Unid,"(80,280]",12,1.08,0.28
Walleye pollock,Ctenophora sp.,"(20,40]",2,0.08,0.28
Pacific halibut,Stichaeidae,"(60,80]",27,1.06,0.28
Pacific cod,Thecosomata,"(0,20]",4,1.08,0.28
Arrowtooth flounder,Cottidae,"(40,60]",14,0.29,0.27
Pacific cod,Bivalvia,"(20,40]",62,3.42,0.27
Arrowtooth flounder,Teuthida,"(20,40]",14,0.31,0.27
Arrowtooth flounder,Macrouridae,"(40,60]",2,0.04,0.27
Walleye pollock,Unid,"(60,80]",15,1.87,0.27
Pacific halibut,Gastropod,"(40,60]",71,2.93,0.26
Pacific cod,Invertebrate,"(60,80]",44,1.44,0.26
Pacific cod,Stichaeidae,"(0,20]",1,0.27,0.26
Walleye pollock,Crustacea,"(20,40]",68,2.81,0.26
Arrowtooth flounder,Caridea,"(40,60]",202,4.21,0.26
Pacific cod,Gastropod,"(0,20]",3,0.81,0.26
Pacific halibut,Cyclopteridae,"(80,280]",5,0.45,0.25
Pacific cod,Mysidacea,"(20,40]",69,3.8,0.25
Walleye pollock,Unid,"(20,40]",52,2.15,0.25
Pacific halibut,Lithodidae,"(60,80]",13,0.51,0.25
Pacific halibut,Rajidae,"(80,280]",3,0.27,0.25
Walleye pollock,Atheresthes stomias,"(60,80]",4,0.5,0.25
Pacific cod,Atheresthes stomias,"(20,40]",6,0.33,0.24
Pacific halibut,Clupeoidei,"(20,40]",1,0.08,0.24
Pacific halibut,Euphausiacea,"(60,80]",58,2.27,0.24
Arrowtooth flounder,Gadus macrocephalus,"(20,40]",1,0.02,0.24
Walleye pollock,Gadidae,"(60,80]",4,0.5,0.23
Walleye pollock,Hyperiidea,"(60,80]",125,15.55,0.23
Pacific cod,Unid,"(60,80]",92,3,0.23
Pacific halibut,Cyclopteridae,"(60,80]",3,0.12,0.23
Walleye pollock,Zoarcidae,"(40,60]",25,0.36,0.23
Pacific cod,Cumacea,"(40,60]",44,0.82,0.23
Walleye pollock,Anomura,"(40,60]",40,0.57,0.23
Pacific halibut,Mysidacea,"(20,40]",16,1.36,0.23
Pacific halibut,Pandalidae,"(80,280]",22,1.97,0.04
Pacific halibut,Hippolytidae,"(0,20]",3,3.41,0.22
Arrowtooth flounder,Hippoglossoides elassodon,"(20,40]",5,0.11,0.22
Pacific halibut,Cephalopoda,"(20,40]",1,0.08,0.22
Pacific halibut,Lithodidae,"(20,40]",2,0.17,0.22
Pacific halibut,Gammaridea,"(20,40]",65,5.51,0.22
Walleye pollock,Thecosomata,"(20,40]",77,3.19,0.22
Pacific halibut,Anoplopoma fimbria,"(60,80]",6,0.23,0.22
Pacific cod,Unid,"(20,40]",27,1.49,0.22
Pacific halibut,Atheresthes evermanni,"(80,280]",1,0.09,0.21
Pacific halibut,Trichodon trichodon,"(60,80]",6,0.23,0.21
Pacific halibut,Bivalvia,"(60,80]",129,5.04,0.21
Pacific halibut,Chionoecetes sp.,"(80,280]",18,1.61,0.21
Pacific cod,Cephalopoda,"(20,40]",7,0.39,0.2
Walleye pollock,Anomura,"(0,20]",2,0.11,0.2
Pacific cod,Holothuroidea,"(20,40]",6,0.33,0.2
Pacific cod,Invertebrate,"(20,40]",14,0.77,0.2
Walleye pollock,Gadidae,"(40,60]",28,0.4,0.2
Pacific halibut,Annelida,"(60,80]",38,1.49,0.2
Pacific halibut,Cephalopoda,"(80,280]",17,1.52,0.2
Walleye pollock,Paguridae,"(0,20]",41,2.3,0.19
Arrowtooth flounder,Pleurogrammus monopterygius,"(40,60]",2,0.04,0.19
Pacific halibut,Lepidopsetta bilineata,"(80,280]",2,0.18,0.19
Pacific cod,Gastropod,"(60,80]",187,6.1,0.19
Walleye pollock,Clupeoidei,"(0,20]",1,0.06,0.19
Pacific cod,Crustacea,"(80,280]",2,1.06,0.19
Pacific cod,Amphipoda,"(0,20]",1,0.27,0.19
Pacific cod,Rajidae,"(60,80]",5,0.16,0.19
Walleye pollock,Ammodytidae,"(0,20]",1,0.06,0.19
Arrowtooth flounder,Trichodon trichodon,"(60,80]",1,0.16,0.19
Pacific halibut,Hexagrammidae,"(40,60]",1,0.04,0.19
Walleye pollock,Brachyura,"(40,60]",175,2.49,0.19
Pacific halibut,Cyclopteridae,"(40,60]",8,0.33,0.19
Pacific halibut,Hippoglossus stenolepis,"(40,60]",4,0.17,0.19
Pacific cod,Brachyura,"(80,280]",8,4.26,0.18
Pacific cod,Cottidae,"(80,280]",4,2.13,0.18
Pacific cod,Cnidaria,"(40,60]",27,0.5,0.18
Walleye pollock,Gadidae,"(20,40]",3,0.12,0.18
Pacific cod,Isopoda,"(40,60]",182,3.4,0.18
Walleye pollock,Teuthida,"(20,40]",24,0.99,0.17
Walleye pollock,Annelida,"(20,40]",10,0.41,0.17
Walleye pollock,Chionoecetes bairdi,"(40,60]",35,0.5,0.17
Walleye pollock,Amphipoda,"(20,40]",27,1.12,0.17
Pacific halibut,Isopoda,"(20,40]",19,1.61,0.17
Pacific halibut,Agonidae,"(40,60]",25,1.03,0.17
Walleye pollock,Echinodermata,"(60,80]",2,0.25,0.17
Pacific halibut,Teuthida,"(20,40]",3,0.25,0.17
Arrowtooth flounder,Offal,"(60,80]",5,0.82,0.16
Walleye pollock,Tunicata,"(40,60]",37,0.53,0.16
Pacific cod,Cephalopoda,"(40,60]",91,1.7,0.16
Pacific halibut,Zoarcidae,"(60,80]",15,0.59,0.16
Pacific cod,Lepidopsetta bilineata,"(20,40]",1,0.06,0.16
Pacific cod,Osmeridae,"(80,280]",3,1.6,0.15
Pacific cod,Lepidopsetta sp.,"(60,80]",9,0.29,0.15
Arrowtooth flounder,Sebastes sp.,"(20,40]",7,0.15,0.15
Pacific cod,Crustacea,"(40,60]",75,1.4,0.15
Walleye pollock,Stichaeidae,"(40,60]",18,0.26,0.14
Arrowtooth flounder,Crangonidae,"(40,60]",121,2.52,0.14
Pacific cod,Majidae,"(80,280]",4,2.13,0.14
Pacific halibut,Pholidae,"(40,60]",13,0.54,0.14
Arrowtooth flounder,Chaetognatha,"(0,20]",4,0.49,0.14
Arrowtooth flounder,Teuthida,"(0,20]",1,0.12,0.14
Arrowtooth flounder,Trichodon trichodon,"(40,60]",3,0.06,0.14
Walleye pollock,Myctophidae,"(20,40]",1,0.04,0.14
Pacific halibut,Chionoecetes bairdi,"(0,20]",1,1.14,0.14
Pacific cod,Octopoda,"(20,40]",16,0.88,0.14
Pacific halibut,Euphausiacea,"(80,280]",15,1.35,0.13
Pacific cod,Chionoecetes sp.,"(80,280]",1,0.53,0.13
Arrowtooth flounder,Pleurogrammus monopterygius,"(20,40]",1,0.02,0.13
Walleye pollock,Decapoda,"(40,60]",32,0.46,0.13
Pacific cod,Gadidae,"(20,40]",1,0.06,0.13
Pacific halibut,Agonidae,"(0,20]",1,1.14,0.13
Pacific cod,Unid Eggs,"(20,40]",2,0.11,0.13
Pacific halibut,Polychaeta,"(80,280]",14,1.26,0.13
Pacific halibut,Unid Eggs,"(40,60]",4,0.17,0.13
Pacific halibut,Zoarcidae,"(80,280]",5,0.45,0.13
Arrowtooth flounder,Agonidae,"(0,20]",1,0.12,0.13
Pacific cod,Clupeoidei,"(20,40]",2,0.11,0.13
Pacific halibut,Hippoglossoides elassodon,"(20,40]",2,0.17,0.13
Arrowtooth flounder,Atheresthes stomias,"(20,40]",10,0.22,0.13
Pacific cod,Bivalvia,"(0,20]",2,0.54,0.13
Walleye pollock,Tunicata,"(60,80]",4,0.5,0.13
Pacific cod,Crustacea,"(20,40]",38,2.09,0.13
Walleye pollock,Paguridae,"(40,60]",278,3.96,0.12
Pacific halibut,Lithodidae,"(40,60]",8,0.33,0.12
Pacific halibut,Hippoglossoides elassodon,"(60,80]",4,0.16,0.12
Walleye pollock,Atheresthes stomias,"(40,60]",8,0.11,0.12
Walleye pollock,Annelida,"(60,80]",3,0.37,0.12
Pacific cod,Invertebrate,"(40,60]",47,0.88,0.12
Pacific halibut,Octopoda,"(20,40]",7,0.59,0.12
Arrowtooth flounder,Mysidacea,"(20,40]",60,1.32,0.12
Pacific cod,Ophiurida,"(40,60]",40,0.75,0.12
Pacific cod,Unid,"(0,20]",3,0.81,0.12
Arrowtooth flounder,Hippolytidae,"(20,40]",36,0.79,0.12
Pacific halibut,Hexagrammidae,"(80,280]",1,0.09,0.12
Walleye pollock,Amphipoda,"(0,20]",14,0.78,0.12
Walleye pollock,Cottidae,"(40,60]",28,0.4,0.12
Pacific cod,Cnidaria,"(60,80]",20,0.65,0.12
Arrowtooth flounder,Lepidopsetta sp.,"(0,20]",2,0.25,0.12
Walleye pollock,Pleuronectiformes,"(40,60]",37,0.53,0.12
Pacific halibut,Cyclopteridae,"(20,40]",4,0.34,0.12
Pacific cod,Agonidae,"(60,80]",45,1.47,0.12
Pacific halibut,Lepidopsetta polyxystra,"(60,80]",3,0.12,0.12
Arrowtooth flounder,Hippoglossoides elassodon,"(40,60]",5,0.1,0.12
Pacific halibut,Cumacea,"(20,40]",12,1.02,0.12
Pacific halibut,Lithodidae,"(80,280]",11,0.99,0.12
Pacific cod,Stichaeidae,"(80,280]",3,1.6,0.11
Pacific cod,Zoarcidae,"(80,280]",2,1.06,0.11
Pacific cod,Cephalopoda,"(60,80]",52,1.7,0.11
Pacific halibut,Caprellidae,"(0,20]",2,2.27,0.11
Arrowtooth flounder,Appendicularia,"(0,20]",4,0.49,0.11
Pacific cod,Lepidopsetta bilineata,"(60,80]",1,0.03,0.11
Pacific cod,Appendicularia,"(20,40]",11,0.61,0.11
Arrowtooth flounder,Anomura,"(20,40]",16,0.35,0.11
Pacific halibut,Mollusca,"(40,60]",23,0.95,0.1
Pacific cod,Hyperiidea,"(0,20]",5,1.34,0.1
Pacific cod,Agonidae,"(20,40]",7,0.39,0.1
Arrowtooth flounder,Polychaeta,"(20,40]",59,1.29,0.1
Pacific cod,Echinodermata,"(20,40]",2,0.11,0.1
Walleye pollock,Brachyura,"(60,80]",10,1.24,0.1
Pacific cod,Lithodidae,"(80,280]",1,0.53,0.1
Walleye pollock,Gadidae,"(0,20]",1,0.06,0.1
Pacific cod,Thecosomata,"(40,60]",13,0.24,0.1
Pacific cod,Hippoglossoides elassodon,"(20,40]",3,0.17,0.1
Walleye pollock,Chaetognatha,"(40,60]",198,2.82,0.1
Pacific cod,Mollusca,"(0,20]",1,0.27,0.1
Walleye pollock,Cephalopoda,"(0,20]",1,0.06,0.1
Arrowtooth flounder,Gammaridea,"(0,20]",10,1.23,0.09
Pacific halibut,Agonidae,"(60,80]",12,0.47,0.09
Pacific cod,Mollusca,"(40,60]",47,0.88,0.09
Walleye pollock,Pleuronectiformes,"(60,80]",8,1,0.09
Arrowtooth flounder,Hippoglossus stenolepis,"(0,20]",1,0.12,0.09
Pacific halibut,Trichodon trichodon,"(80,280]",1,0.09,0.09
Pacific halibut,Gastropod,"(20,40]",10,0.85,0.09
Pacific halibut,Isopoda,"(40,60]",27,1.12,0.09
Pacific halibut,Ophiurida,"(40,60]",36,1.49,0.09
Pacific halibut,Gastropod,"(60,80]",52,2.03,0.09
Walleye pollock,Myctophidae,"(40,60]",11,0.16,0.09
Walleye pollock,Crustacea,"(40,60]",91,1.3,0.08
Pacific cod,Euphausiacea,"(80,280]",15,7.98,0.08
Pacific halibut,Unid,"(40,60]",33,1.36,0.08
Pacific halibut,Caridea,"(40,60]",45,1.86,0.08
Walleye pollock,Sebastes sp.,"(20,40]",3,0.12,0.08
Arrowtooth flounder,Myctophidae,"(40,60]",10,0.21,0.08
Pacific halibut,Unid,"(0,20]",2,2.27,0.08
Pacific cod,Echinodermata,"(60,80]",26,0.85,0.08
Pacific halibut,Unid Eggs,"(20,40]",1,0.08,0.08
Walleye pollock,Octopoda,"(40,60]",13,0.19,0.08
Pacific halibut,Lepidopsetta sp.,"(60,80]",2,0.08,0.08
Pacific cod,Sebastolobus sp.,"(60,80]",3,0.1,0.08
Pacific halibut,Hexagrammidae,"(60,80]",2,0.08,0.08
Pacific halibut,Bivalvia,"(80,280]",22,1.97,0.08
Pacific cod,Isopoda,"(60,80]",88,2.87,0.08
Arrowtooth flounder,Polychaeta,"(0,20]",7,0.86,0.08
Pacific cod,Rajidae,"(40,60]",3,0.06,0.07
Pacific halibut,Chionoecetes opilio,"(60,80]",4,0.16,0.07
Pacific cod,Lithodidae,"(40,60]",3,0.06,0.07
Pacific halibut,Holothuroidea,"(40,60]",4,0.17,0.07
Pacific cod,Unid,"(80,280]",6,3.19,0.07
Pacific cod,Mollusca,"(60,80]",25,0.82,0.07
Walleye pollock,Decapoda,"(0,20]",6,0.34,0.07
Arrowtooth flounder,Chionoecetes bairdi,"(0,20]",1,0.12,0.07
Arrowtooth flounder,Lepidopsetta sp.,"(20,40]",6,0.13,0.07
Walleye pollock,Polychaeta,"(0,20]",10,0.56,0.07
Walleye pollock,Annelida,"(40,60]",12,0.17,0.07
Pacific halibut,Mollusca,"(60,80]",10,0.39,0.07
Pacific halibut,Teuthida,"(40,60]",9,0.37,0.07
Pacific halibut,Salmonidae,"(40,60]",1,0.04,0.07
Pacific halibut,Unid,"(20,40]",12,1.02,0.07
Pacific cod,Ophiurida,"(60,80]",34,1.11,0.07
Pacific halibut,Invertebrate,"(40,60]",20,0.83,0.07
Walleye pollock,Chionoecetes sp.,"(60,80]",1,0.12,0.07
Pacific halibut,Crangonidae,"(60,80]",43,1.68,0.06
Walleye pollock,Pleuronectiformes,"(0,20]",2,0.11,0.06
Pacific cod,Fish Eggs,"(60,80]",5,0.16,0.06
Walleye pollock,Salmonidae,"(40,60]",1,0.01,0.06
Walleye pollock,Anomura,"(60,80]",1,0.12,0.06
Arrowtooth flounder,Copepoda,"(0,20]",5,0.62,0.06
Pacific halibut,Gammaridea,"(40,60]",59,2.44,0.06
Pacific cod,Holothuroidea,"(40,60]",14,0.26,0.06
Arrowtooth flounder,Unid,"(40,60]",62,1.29,0.06
Walleye pollock,Cyclopteridae,"(40,60]",17,0.24,0.06
Arrowtooth flounder,Bathylagidae,"(20,40]",1,0.02,0.06
Pacific cod,Mysidacea,"(40,60]",134,2.5,0.06
Pacific halibut,Hippolytidae,"(60,80]",23,0.9,0.06
Walleye pollock,Decapoda,"(20,40]",12,0.5,0.05
Walleye pollock,Zoarcidae,"(20,40]",2,0.08,0.05
Pacific halibut,Hippoglossoides elassodon,"(40,60]",5,0.21,0.05
Pacific halibut,Rajidae,"(60,80]",5,0.2,0.05
Walleye pollock,Cnidaria,"(20,40]",2,0.08,0.05
Pacific cod,Ctenophora sp.,"(40,60]",2,0.04,0.05
Arrowtooth flounder,Offal,"(20,40]",4,0.09,0.05
Pacific cod,Liminda aspera,"(60,80]",1,0.03,0.05
Pacific cod,Hyperiidea,"(20,40]",18,0.99,0.05
Pacific halibut,Isopoda,"(60,80]",10,0.39,0.05
Pacific halibut,Cnidaria,"(20,40]",2,0.17,0.05
Pacific halibut,Lepidopsetta sp.,"(40,60]",3,0.12,0.05
Arrowtooth flounder,Stichaeidae,"(60,80]",1,0.16,0.05
Arrowtooth flounder,Rajidae,"(40,60]",1,0.02,0.05
Walleye pollock,Pleuronectiformes,"(20,40]",6,0.25,0.05
Pacific halibut,Liminda aspera,"(20,40]",1,0.08,0.04
Pacific cod,Cyclopteridae,"(20,40]",1,0.06,0.04
Pacific cod,Holothuroidea,"(60,80]",7,0.23,0.04
Pacific halibut,Invertebrate,"(60,80]",22,0.86,0.04
Pacific cod,Copepoda,"(40,60]",53,0.99,0.04
Pacific halibut,Caprellidae,"(20,40]",8,0.68,0.04
Arrowtooth flounder,Crustacea,"(0,20]",6,0.74,0.04
Pacific halibut,Tunicata,"(60,80]",3,0.12,0.04
Pacific cod,Thecosomata,"(20,40]",13,0.72,0.04
Walleye pollock,Amphipoda,"(60,80]",3,0.37,0.04
Pacific halibut,Crustacea,"(40,60]",9,0.37,0.04
Arrowtooth flounder,Cephalopoda,"(20,40]",5,0.11,0.04
Pacific cod,Pholidae,"(40,60]",5,0.09,0.04
Walleye pollock,Cephalopoda,"(60,80]",7,0.87,0.04
Pacific halibut,Ophiurida,"(60,80]",43,1.68,0.04
Pacific cod,Bivalvia,"(80,280]",5,2.66,0.04
Walleye pollock,Tunicata,"(20,40]",3,0.12,0.04
Arrowtooth flounder,Bathylagidae,"(60,80]",2,0.33,0.04
Pacific halibut,Echinodea,"(60,80]",3,0.12,0.04
Pacific halibut,Caridea,"(60,80]",21,0.82,0.04
Walleye pollock,Ctenophora sp.,"(0,20]",2,0.11,0.04
Pacific halibut,Atheresthes stomias,"(20,40]",2,0.17,0.04
Arrowtooth flounder,Chaetognatha,"(20,40]",24,0.53,0.04
Pacific cod,Crangonidae,"(80,280]",9,4.79,0.04
Pacific halibut,Rajidae,"(40,60]",3,0.12,0.04
Walleye pollock,Paguridae,"(60,80]",14,1.74,0.04
Walleye pollock,Pandalidae,"(0,20]",15,0.84,0.99
Arrowtooth flounder,Hyperiidea,"(0,20]",6,0.74,0.04
Pacific cod,Hippoglossus stenolepis,"(20,40]",1,0.06,0.04
Walleye pollock,Isopoda,"(60,80]",3,0.37,0.04
Arrowtooth flounder,Salmonidae,"(20,40]",2,0.04,0.04
Pacific halibut,Chionoecetes opilio,"(40,60]",7,0.29,0.04
Pacific cod,Lepidopsetta polyxystra,"(40,60]",2,0.04,0.04
Pacific cod,Crustacea,"(60,80]",31,1.01,0.04
Walleye pollock,Cnidaria,"(40,60]",13,0.19,0.04
Pacific cod,Atheresthes evermanni,"(40,60]",1,0.02,0.03
Walleye pollock,Cnidaria,"(60,80]",2,0.25,0.03
Arrowtooth flounder,Teuthida,"(60,80]",9,1.48,0.03
Arrowtooth flounder,Agonidae,"(20,40]",6,0.13,0.03
Arrowtooth flounder,Gammaridea,"(20,40]",58,1.27,0.03
Arrowtooth flounder,Zoarcidae,"(60,80]",1,0.16,0.03
Arrowtooth flounder,Teleostei unid,"(80,280]",1,14.29,0.03
Walleye pollock,Amphipoda,"(40,60]",57,0.81,0.03
Pacific cod,Caprellidae,"(20,40]",20,1.1,0.03
Pacific cod,Cnidaria,"(20,40]",4,0.22,0.03
Pacific cod,Trichodon trichodon,"(40,60]",2,0.04,0.03
Arrowtooth flounder,Unid,"(20,40]",21,0.46,0.03
Walleye pollock,Chaetognatha,"(60,80]",9,1.12,0.03
Pacific cod,Teuthida,"(20,40]",12,0.66,0.03
Walleye pollock,Cyclopteridae,"(60,80]",4,0.5,0.03
Pacific cod,Lepidopsetta sp.,"(40,60]",4,0.07,0.03
Pacific cod,Caprellidae,"(40,60]",23,0.43,0.03
Pacific halibut,Fish Eggs,"(40,60]",2,0.08,0.03
Pacific halibut,Octopoda,"(0,20]",1,1.14,0.03
Pacific halibut,Cnidaria,"(80,280]",5,0.45,0.03
Pacific cod,Appendicularia,"(40,60]",14,0.26,0.03
Walleye pollock,Teuthida,"(0,20]",3,0.17,0.03
Arrowtooth flounder,Unid,"(0,20]",4,0.49,0.03
Pacific cod,Amphipoda,"(20,40]",12,0.66,0.03
Arrowtooth flounder,Brachyura,"(20,40]",19,0.42,0.03
Pacific halibut,Lepidopsetta polyxystra,"(80,280]",1,0.09,0.03
Walleye pollock,Isopoda,"(40,60]",20,0.28,0.03
Pacific cod,Echinodea,"(60,80]",5,0.16,0.03
Pacific cod,Isopoda,"(0,20]",2,0.54,0.03
Arrowtooth flounder,Anomura,"(0,20]",1,0.12,0.03
Walleye pollock,Hippoglossoides elassodon,"(40,60]",5,0.07,0.03
Arrowtooth flounder,Cephalopoda,"(40,60]",10,0.21,0.03
Pacific halibut,Invertebrate,"(80,280]",8,0.72,0.03
Pacific halibut,Pholidae,"(60,80]",7,0.27,0.03
Pacific cod,Pholidae,"(20,40]",2,0.11,0.03
Arrowtooth flounder,Holothuroidea,"(40,60]",1,0.02,0.03
Pacific cod,Lepidopsetta bilineata,"(40,60]",2,0.04,0.03
Pacific halibut,Lepidopsetta sp.,"(20,40]",2,0.17,0.03
Pacific halibut,Cumacea,"(40,60]",5,0.21,0.03
Arrowtooth flounder,Myctophidae,"(20,40]",1,0.02,0.02
Pacific cod,Chaetognatha,"(0,20]",3,0.81,0.02
Arrowtooth flounder,Sebastolobus sp.,"(40,60]",1,0.02,0.02
Pacific halibut,Echinodermata,"(80,280]",5,0.45,0.02
Pacific cod,Cyclopteridae,"(40,60]",13,0.24,0.02
Pacific cod,Decapoda,"(20,40]",8,0.44,0.02
Pacific cod,Lepidopsetta polyxystra,"(20,40]",1,0.06,0.02
Walleye pollock,Bivalvia,"(40,60]",53,0.75,0.02
Pacific halibut,Stichaeidae,"(80,280]",3,0.27,0.02
Arrowtooth flounder,Mollusca,"(20,40]",2,0.04,0.02
Pacific cod,Aves,"(60,80]",3,0.1,0.02
Pacific halibut,Chionoecetes opilio,"(20,40]",2,0.17,0.02
Pacific cod,Chionoecetes opilio,"(60,80]",4,0.13,0.02
Pacific halibut,Invertebrate,"(20,40]",8,0.68,0.02
Walleye pollock,Isopoda,"(20,40]",6,0.25,0.02
Pacific halibut,Crustacea,"(20,40]",5,0.42,0.02
Pacific cod,Echinodea,"(40,60]",3,0.06,0.02
Arrowtooth flounder,Caridea,"(60,80]",10,1.64,0.02
Pacific cod,Fish Eggs,"(80,280]",1,0.53,0.02
Pacific cod,Ctenophora sp.,"(80,280]",1,0.53,0.02
Arrowtooth flounder,Crangonidae,"(60,80]",10,1.64,0.02
Pacific halibut,Gammaridea,"(60,80]",35,1.37,0.02
Pacific cod,Offal,"(20,40]",2,0.11,0.02
Pacific cod,Echinodermata,"(80,280]",1,0.53,0.02
Pacific cod,Decapoda,"(40,60]",10,0.19,0.02
Pacific halibut,Mysidacea,"(40,60]",7,0.29,0.02
Pacific cod,Hyperiidea,"(40,60]",56,1.05,0.02
Walleye pollock,Cephalopoda,"(40,60]",38,0.54,0.02
Pacific halibut,Tunicata,"(40,60]",3,0.12,0.02
Arrowtooth flounder,Pleurogrammus monopterygius,"(0,20]",1,0.12,0.02
Pacific cod,Echinodermata,"(40,60]",14,0.26,0.02
Arrowtooth flounder,Crustacea,"(20,40]",37,0.81,0.02
Walleye pollock,Clupeoidei,"(20,40]",1,0.04,0.02
Walleye pollock,Bivalvia,"(60,80]",6,0.75,0.02
Walleye pollock,Crustacea,"(60,80]",6,0.75,0.02
Arrowtooth flounder,Copepoda,"(20,40]",25,0.55,0.02
Pacific halibut,Gastropod,"(80,280]",13,1.17,0.02
Arrowtooth flounder,Anoplopoma fimbria,"(40,60]",4,0.08,0.02
Pacific cod,Hyperiidea,"(60,80]",30,0.98,0.02
Pacific cod,Chionoecetes opilio,"(40,60]",5,0.09,0.02
Arrowtooth flounder,Brachyura,"(0,20]",3,0.37,0.02
Walleye pollock,Sebastes sp.,"(40,60]",5,0.07,0.02
Pacific cod,Myctophidae,"(40,60]",5,0.09,0.02
Pacific cod,Caridea,"(80,280]",7,3.72,0.02
Walleye pollock,Atheresthes stomias,"(0,20]",1,0.06,0.02
Arrowtooth flounder,Hippolytidae,"(40,60]",26,0.54,0.02
Walleye pollock,Echinodermata,"(40,60]",2,0.03,0.02
Walleye pollock,Cephalopoda,"(20,40]",7,0.29,0.02
Pacific halibut,Echinodea,"(80,280]",2,0.18,0.02
Pacific cod,Annelida,"(80,280]",2,1.06,0.02
Arrowtooth flounder,Mollusca,"(0,20]",1,0.12,0.02
Arrowtooth flounder,Chionoecetes bairdi,"(20,40]",3,0.07,0.02
Pacific cod,Decapoda,"(0,20]",1,0.27,0.02
Arrowtooth flounder,Appendicularia,"(20,40]",3,0.07,0.02
Arrowtooth flounder,Cyclopteridae,"(40,60]",2,0.04,0.01
Walleye pollock,Gastropod,"(40,60]",29,0.41,0.01
Pacific cod,Chaetognatha,"(20,40]",4,0.22,0.01
Pacific cod,Hippolytidae,"(80,280]",5,2.66,0.01
Pacific halibut,Fish Eggs,"(20,40]",1,0.08,0.01
Walleye pollock,Invertebrate,"(60,80]",3,0.37,0.01
Walleye pollock,Majidae,"(40,60]",22,0.31,0.01
Pacific cod,Tunicata,"(60,80]",6,0.2,0.01
Pacific halibut,Hippoglossus stenolepis,"(20,40]",3,0.25,0.01
Walleye pollock,Bivalvia,"(20,40]",5,0.21,0.01
Arrowtooth flounder,Mysidacea,"(40,60]",18,0.37,0.01
Pacific cod,Unid Eggs,"(60,80]",6,0.2,0.01
Pacific halibut,Tunicata,"(20,40]",1,0.08,0.01
Walleye pollock,Tunicata,"(0,20]",1,0.06,0.01
Walleye pollock,Hippoglossoides elassodon,"(60,80]",2,0.25,0.01
Walleye pollock,Gastropod,"(20,40]",3,0.12,0.01
Pacific halibut,Unid Eggs,"(80,280]",1,0.09,0.01
Pacific cod,Chionoecetes opilio,"(20,40]",1,0.06,0.01
Walleye pollock,Atheresthes stomias,"(20,40]",3,0.12,0.01
Walleye pollock,Majidae,"(0,20]",6,0.34,0.01
Pacific cod,Mysidacea,"(60,80]",45,1.47,0.01
Pacific halibut,Lepidopsetta bilineata,"(40,60]",1,0.04,0.01
Pacific cod,Ophiurida,"(20,40]",7,0.39,0.01
Arrowtooth flounder,Paguridae,"(60,80]",2,0.33,0.01
Arrowtooth flounder,Polychaeta,"(40,60]",24,0.5,0.01
Arrowtooth flounder,Unid Eggs,"(60,80]",1,0.16,0.01
Arrowtooth flounder,Copepoda,"(60,80]",2,0.33,0.01
Pacific cod,Tunicata,"(40,60]",5,0.09,0.01
Pacific cod,Unid Eggs,"(40,60]",10,0.19,0.01
Walleye pollock,Octopoda,"(60,80]",1,0.12,0.01
Arrowtooth flounder,Myctophidae,"(60,80]",1,0.16,0.01
Pacific cod,Pholidae,"(60,80]",3,0.1,0.01
Walleye pollock,Cottidae,"(0,20]",1,0.06,0.01
Arrowtooth flounder,Gammaridea,"(40,60]",23,0.48,0.01
Pacific cod,Gastropod,"(80,280]",3,1.6,0.01
Arrowtooth flounder,Thecosomata,"(0,20]",3,0.37,0.01
Pacific halibut,Aves,"(60,80]",2,0.08,0.01
Pacific halibut,Sebastes sp.,"(20,40]",2,0.17,0.01
Pacific halibut,Caridea,"(80,280]",9,0.81,0.01
Walleye pollock,Mollusca,"(20,40]",3,0.12,0.01
Pacific cod,Copepoda,"(60,80]",17,0.55,0.01
Arrowtooth flounder,Unid,"(60,80]",5,0.82,0.01
Pacific halibut,Clypeasteroida,"(60,80]",3,0.12,0.01
Pacific halibut,Paralithodes camtschaticus,"(80,280]",1,0.09,0.01
Pacific halibut,Cumacea,"(0,20]",1,1.14,0.01
Arrowtooth flounder,Amphipoda,"(20,40]",3,0.07,0.01
Walleye pollock,Agonidae,"(60,80]",1,0.12,0.01
Arrowtooth flounder,Ophiurida,"(40,60]",5,0.1,0.01
Pacific halibut,Ophiurida,"(80,280]",10,0.9,0.01
Walleye pollock,Gadus macrocephalus,"(40,60]",2,0.03,0.01
Arrowtooth flounder,Liminda aspera,"(20,40]",1,0.02,0.01
Pacific halibut,Hyperiidea,"(20,40]",2,0.17,0.01
Pacific cod,Gammaridea,"(80,280]",7,3.72,0.01
Pacific halibut,Anomura,"(80,280]",9,0.81,0.01
Arrowtooth flounder,Octopoda,"(40,60]",3,0.06,0.01
Pacific halibut,Annelida,"(80,280]",6,0.54,0.01
Pacific halibut,Myctophidae,"(60,80]",1,0.04,0.01
Arrowtooth flounder,Cyclopteridae,"(20,40]",2,0.04,0.01
Arrowtooth flounder,Annelida,"(20,40]",1,0.02,0.01
Arrowtooth flounder,Hyperiidea,"(20,40]",30,0.66,0.01
Pacific cod,Lithodidae,"(20,40]",1,0.06,0.01
Pacific cod,Lepidopsetta sp.,"(20,40]",1,0.06,0.01
Pacific cod,Fish Eggs,"(40,60]",6,0.11,0.01
